day,date-time,number
Wed,2017/11/1 0:00,10
Wed,2017/11/1 1:00,6
Wed,2017/11/1 2:00,4
Wed,2017/11/1 3:00,12
Wed,2017/11/1 4:00,24
Wed,2017/11/1 5:00,5
Wed,2017/11/1 6:00,13
Wed,2017/11/1 7:00,38
Wed,2017/11/1 8:00,481
Wed,2017/11/1 9:00,386
Wed,2017/11/1 10:00,480
Wed,2017/11/1 11:00,283
Wed,2017/11/1 12:00,283
Wed,2017/11/1 13:00,209
Wed,2017/11/1 14:00,204
Wed,2017/11/1 15:00,147
Wed,2017/11/1 16:00,109
Wed,2017/11/1 17:00,88
Wed,2017/11/1 18:00,51
Wed,2017/11/1 19:00,44
Wed,2017/11/1 20:00,31
Wed,2017/11/1 21:00,12
Wed,2017/11/1 22:00,17
Wed,2017/11/1 23:00,16
Thu,2017/11/2 0:00,12
Thu,2017/11/2 1:00,5
Thu,2017/11/2 2:00,5
Thu,2017/11/2 3:00,7
Thu,2017/11/2 4:00,32
Thu,2017/11/2 5:00,3
Thu,2017/11/2 6:00,12
Thu,2017/11/2 7:00,36
Thu,2017/11/2 8:00,461
Thu,2017/11/2 9:00,360
Thu,2017/11/2 10:00,373
Thu,2017/11/2 11:00,237
Thu,2017/11/2 12:00,254
Thu,2017/11/2 13:00,209
Thu,2017/11/2 14:00,160
Thu,2017/11/2 15:00,156
Thu,2017/11/2 16:00,119
Thu,2017/11/2 17:00,79
Thu,2017/11/2 18:00,49
Thu,2017/11/2 19:00,29
Thu,2017/11/2 20:00,28
Thu,2017/11/2 21:00,16
Thu,2017/11/2 22:00,11
Thu,2017/11/2 23:00,14
Fri,2017/11/3 0:00,6
Fri,2017/11/3 1:00,5
Fri,2017/11/3 2:00,4
Fri,2017/11/3 3:00,7
Fri,2017/11/3 4:00,25
Fri,2017/11/3 5:00,4
Fri,2017/11/3 6:00,8
Fri,2017/11/3 7:00,17
Fri,2017/11/3 8:00,44
Fri,2017/11/3 9:00,93
Fri,2017/11/3 10:00,94
Fri,2017/11/3 11:00,87
Fri,2017/11/3 12:00,104
Fri,2017/11/3 13:00,83
Fri,2017/11/3 14:00,77
Fri,2017/11/3 15:00,75
Fri,2017/11/3 16:00,55
Fri,2017/11/3 17:00,37
Fri,2017/11/3 18:00,38
Fri,2017/11/3 19:00,16
Fri,2017/11/3 20:00,16
Fri,2017/11/3 21:00,7
Fri,2017/11/3 22:00,10
Fri,2017/11/3 23:00,6
Sat,2017/11/4 0:00,7
Sat,2017/11/4 1:00,7
Sat,2017/11/4 2:00,6
Sat,2017/11/4 3:00,6
Sat,2017/11/4 4:00,22
Sat,2017/11/4 5:00,1
Sat,2017/11/4 6:00,9
Sat,2017/11/4 7:00,8
Sat,2017/11/4 8:00,32
Sat,2017/11/4 9:00,62
Sat,2017/11/4 10:00,62
Sat,2017/11/4 11:00,58
Sat,2017/11/4 12:00,69
Sat,2017/11/4 13:00,81
Sat,2017/11/4 14:00,59
Sat,2017/11/4 15:00,56
Sat,2017/11/4 16:00,40
Sat,2017/11/4 17:00,29
Sat,2017/11/4 18:00,30
Sat,2017/11/4 19:00,16
Sat,2017/11/4 20:00,17
Sat,2017/11/4 21:00,5
Sat,2017/11/4 22:00,5
Sat,2017/11/4 23:00,2
Sun,2017/11/5 0:00,6
Sun,2017/11/5 1:00,4
Sun,2017/11/5 2:00,4
Sun,2017/11/5 3:00,5
Sun,2017/11/5 4:00,27
Sun,2017/11/5 5:00,2
Sun,2017/11/5 6:00,5
Sun,2017/11/5 7:00,4
Sun,2017/11/5 8:00,18
Sun,2017/11/5 9:00,25
Sun,2017/11/5 10:00,43
Sun,2017/11/5 11:00,46
Sun,2017/11/5 12:00,66
Sun,2017/11/5 13:00,62
Sun,2017/11/5 14:00,53
Sun,2017/11/5 15:00,56
Sun,2017/11/5 16:00,44
Sun,2017/11/5 17:00,32
Sun,2017/11/5 18:00,11
Sun,2017/11/5 19:00,9
Sun,2017/11/5 20:00,9
Sun,2017/11/5 21:00,9
Sun,2017/11/5 22:00,1
Sun,2017/11/5 23:00,3
Mon,2017/11/6 0:00,3
Mon,2017/11/6 1:00,8
Mon,2017/11/6 2:00,4
Mon,2017/11/6 3:00,11
Mon,2017/11/6 4:00,33
Mon,2017/11/6 5:00,1
Mon,2017/11/6 6:00,13
